
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Upward mobility",="Upward mobility",="Upward mobility",="Upward mobility",="Upward mobility",="Upward mobility",="Upward mobility",="Upward mobility"

="Median income",="0.341***",="-0.023",="",="",="0.586***",="0.230***",="",=""
="",="(0.045)",="(0.068)",="",="",="(0.024)",="(0.030)",="",=""

="Poverty rate",="",="",="-0.297***",="0.142**",="",="",="-0.542***",="-0.201***"
="",="",="",="(0.070)",="(0.069)",="",="",="(0.054)",="(0.057)"

="Economic connectedness",="",="0.663***",="",="0.735***",="",="0.530***",="",="0.563***"
="",="",="(0.056)",="",="(0.044)",="",="(0.039)",="",="(0.034)"

="Observations",="3016",="3016",="3016",="3016",="18967",="18967",="18967",="18967"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
