
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Upward mobility",="Upward mobility",="Upward mobility",="Upward mobility",="Upward mobility",="Upward mobility"

="Income segregation",="-0.173***",="-0.076",="",="",="",=""
="",="(0.053)",="(0.053)",="",="",="",=""

="Racial segregation",="",="",="-0.212**",="-0.031",="",=""
="",="",="",="(0.088)",="(0.085)",="",=""

="Income inequality (Gini coefficient)",="",="",="",="",="-0.449***",="-0.107"
="",="",="",="",="",="(0.084)",="(0.090)"

="Economic connectedness",="",="0.605***",="",="0.608***",="",="0.579***"
="",="",="(0.044)",="",="(0.053)",="",="(0.064)"

="Observations",="1821",="1821",="1822",="1822",="2738",="2738"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
