
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Upward mobility for black individuals",="Upward mobility for black individuals",="Upward mobility for black individuals",="Upward mobility for black individuals",="Upward mobility for white individuals",="Upward mobility for white individuals",="Upward mobility for white individuals",="Upward mobility for white individuals"

="Share black",="-0.158**",="0.079",="-0.202***",="-0.013",="-0.130**",="0.149**",="-0.251***",="0.036*"
="",="(0.069)",="(0.074)",="(0.059)",="(0.071)",="(0.057)",="(0.067)",="(0.018)",="(0.019)"

="Economic connectedness",="",="0.519***",="",="0.478***",="",="0.588***",="",="0.636***"
="",="",="(0.094)",="",="(0.082)",="",="(0.051)",="",="(0.028)"

="Observations",="1878",="1878",="9961",="9961",="3015",="3015",="18880",="18880"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
